Date,"Spot exchange rate, US $ into Sterling  "
11-Feb-21,1.3826
10-Feb-21,1.3845
09-Feb-21,1.3796
08-Feb-21,1.374
05-Feb-21,1.3724
04-Feb-21,1.3659
03-Feb-21,1.3644
02-Feb-21,1.3629
01-Feb-21,1.3663
29-Jan-21,1.3728
28-Jan-21,1.3719
27-Jan-21,1.3704
26-Jan-21,1.3742
25-Jan-21,1.3671
22-Jan-21,1.367
21-Jan-21,1.372
20-Jan-21,1.363
19-Jan-21,1.3618
18-Jan-21,1.3575
15-Jan-21,1.3585
14-Jan-21,1.3691
13-Jan-21,1.3634
12-Jan-21,1.3624
11-Jan-21,1.3492
08-Jan-21,1.359
07-Jan-21,1.3544
06-Jan-21,1.355
05-Jan-21,1.3593
04-Jan-21,1.3579
31-Dec-20,1.3649
30-Dec-20,1.3608
29-Dec-20,1.3494
24-Dec-20,1.3588
23-Dec-20,1.3522
22-Dec-20,1.3322
21-Dec-20,1.3314
18-Dec-20,1.3485
17-Dec-20,1.3591
16-Dec-20,1.3495
15-Dec-20,1.3448
14-Dec-20,1.333
11-Dec-20,1.3216
10-Dec-20,1.3275
09-Dec-20,1.3396
08-Dec-20,1.3361
07-Dec-20,1.3313
04-Dec-20,1.3473
03-Dec-20,1.3497
02-Dec-20,1.3326
01-Dec-20,1.3364
30-Nov-20,1.3353
27-Nov-20,1.3344
26-Nov-20,1.333
25-Nov-20,1.3379
24-Nov-20,1.3355
23-Nov-20,1.3294
20-Nov-20,1.3286
19-Nov-20,1.3226
18-Nov-20,1.3302
17-Nov-20,1.326
16-Nov-20,1.3176
13-Nov-20,1.3159
12-Nov-20,1.3129
11-Nov-20,1.3197
10-Nov-20,1.325
09-Nov-20,1.315
06-Nov-20,1.316
05-Nov-20,1.3022
04-Nov-20,1.2994
03-Nov-20,1.3071
02-Nov-20,1.2904
30-Oct-20,1.2933
29-Oct-20,1.2905
28-Oct-20,1.2994
27-Oct-20,1.3066
26-Oct-20,1.302
23-Oct-20,1.3047
22-Oct-20,1.3095
21-Oct-20,1.3163
20-Oct-20,1.2962
19-Oct-20,1.2997
16-Oct-20,1.293
15-Oct-20,1.2906
14-Oct-20,1.3041
13-Oct-20,1.2987
12-Oct-20,1.307
09-Oct-20,1.2994
08-Oct-20,1.2928
07-Oct-20,1.2895
06-Oct-20,1.2963
05-Oct-20,1.2974
02-Oct-20,1.2932
01-Oct-20,1.287
30-Sep-20,1.2924
29-Sep-20,1.2842
28-Sep-20,1.2842
25-Sep-20,1.2705
24-Sep-20,1.2714
23-Sep-20,1.2765
22-Sep-20,1.2721
21-Sep-20,1.2795
18-Sep-20,1.2962
17-Sep-20,1.2952
16-Sep-20,1.3006
15-Sep-20,1.2854
14-Sep-20,1.2883
11-Sep-20,1.2782
10-Sep-20,1.2867
09-Sep-20,1.2996
08-Sep-20,1.3023
07-Sep-20,1.3177
04-Sep-20,1.3199
03-Sep-20,1.3271
02-Sep-20,1.3303
01-Sep-20,1.345
28-Aug-20,1.333
27-Aug-20,1.3189
26-Aug-20,1.3193
25-Aug-20,1.3118
24-Aug-20,1.3071
21-Aug-20,1.3073
20-Aug-20,1.3144
19-Aug-20,1.3182
18-Aug-20,1.3223
17-Aug-20,1.3099
14-Aug-20,1.311
13-Aug-20,1.3096
12-Aug-20,1.3058
11-Aug-20,1.3087
10-Aug-20,1.3089
07-Aug-20,1.3051
06-Aug-20,1.3143
05-Aug-20,1.3143
04-Aug-20,1.3079
03-Aug-20,1.3032
31-Jul-20,1.3126
30-Jul-20,1.3046
29-Jul-20,1.2966
28-Jul-20,1.2947
27-Jul-20,1.2895
24-Jul-20,1.2789
23-Jul-20,1.2746
22-Jul-20,1.2732
21-Jul-20,1.2749
20-Jul-20,1.2647
17-Jul-20,1.2536
16-Jul-20,1.2597
15-Jul-20,1.2623
14-Jul-20,1.253
13-Jul-20,1.2619
10-Jul-20,1.2662
09-Jul-20,1.2615
08-Jul-20,1.2596
07-Jul-20,1.2575
06-Jul-20,1.2509
03-Jul-20,1.2468
02-Jul-20,1.2466
01-Jul-20,1.2458
30-Jun-20,1.2359
29-Jun-20,1.2268
26-Jun-20,1.232
25-Jun-20,1.2406
24-Jun-20,1.245
23-Jun-20,1.252
22-Jun-20,1.2448
19-Jun-20,1.2361
18-Jun-20,1.242
17-Jun-20,1.2545
16-Jun-20,1.2583
15-Jun-20,1.2559
12-Jun-20,1.2539
11-Jun-20,1.2645
10-Jun-20,1.2755
09-Jun-20,1.2722
08-Jun-20,1.2698
